neighborhood,reviews,ratings,price,name,id,image,theme
Nairobi,0,4.0,25,Accomodation plan safaris,28,https://a0.muscache.com/im/pictures/3df7ba0a-d91f-4ab6-8cb4-4eab2cc579f1.jpg?im_w=720,City
Nairobi,29,4.0,34,Studio let Denis Pritt Kilimani,29,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
Nairobi,2,4.0,12,West suites,30,https://a0.muscache.com/im/pictures/1c1a925b-f68d-4bac-b782-95ea91307b7b.jpg?im_w=720,City
Machakos,37,4.0,10,GreatWall Apartment,31,https://stavica.com/wp-content/uploads/2019/05/ghh-1200x675.jpg,Small Town
Nairobi,0,4.0,28,MAGGIES NEST HOTEL,32,https://a0.muscache.com/im/pictures/miso/Hosting-827836200973769125/original/732ff727-edb9-4a06-bb62-6d2390170d68.jpeg?im_w=720,City
Nairobi,0,4.0,10,Bustani Hostel,33,https://a0.muscache.com/im/pictures/miso/Hosting-606213417751506770/original/10d8b011-cdbe-4881-bf8b-8fdc0d3378e5.jpeg,City
Nairobi,0,4.0,18,Home away from Home,34,https://a0.muscache.com/im/pictures/miso/Hosting-43553913/original/3a48029d-8cba-4af0-8a88-3e770b3fa370.jpeg?im_w=720,City
Nairobi,0,4.0,20,Killileshwa 1 bedroom Apartment,35,https://a0.muscache.com/im/pictures/6b3f31bc-5e0c-4c02-a4e3-d359e835bdb2.jpg?im_w=720,City
Nairobi,0,4.0,15,Thigiri Villa Nairobi,36,https://a0.muscache.com/im/pictures/94aed887-abed-48b7-b4a2-db0b9076ce53.jpg?im_w=720,City
Nakuru,0,4.0,30,Mango Cribs 2,37,https://a0.muscache.com/im/pictures/miso/Hosting-50128567/original/0f41419c-e552-4900-89d0-357cadddfbd9.jpeg?im_w=720,City
Nairobi,0,4.0,40,Jungle Oasis Apt,38,https://a0.muscache.com/im/pictures/822ffaf0-8a1f-499a-bdf8-f81916665a1f.jpg?im_w=720,City
Nairobi,0,4.5,20,Rooftop apartment with amazing view,39,https://cf.bstatic.com/xdata/images/hotel/max1024x768/469302281.jpg?k=42283a42355b0a1c8d493dd91667b7c5de15c0e947e893fe9ce5b999e50154b0&o=&hp=1,City
Nakuru,77,3.0,20,A Flat in the Rift Valley,40,https://miro.medium.com/v2/resize:fit:639/1*93h3X8T_pgKwhQ7LVgZBSQ.jpeg,City
Nairobi,7,4.0,20,Cool House,41,https://taalamu.com/wp-content/uploads/2020/12/611-holiday-home-trianum-hospitality.jpg,City
Nairobi,4,4.0,20,EILEEN WAMBUI,42,https://a0.muscache.com/im/pictures/735be12c-8453-4ef8-a4e8-67c195b6ddc5.jpg?im_w=720,City
Nakuru,7,3.0,15,A Convenient Traveler's Room,43,https://a0.muscache.com/im/pictures/miso/Hosting-32115720/original/96a8d322-f7a9-4bf5-a2eb-201f72ec3cc4.jpeg?im_w=720,City
Nairobi,1,3.5,40,Megs Place,44,https://cf.bstatic.com/xdata/images/hotel/max1024x768/406958931.jpg?k=8394aa6dcd60fbc2a985d1549f9685b61fd3f6a5be99b2a1092366a56244eabc&o=&hp=1,City
Kilifi,6,5.0,16,Cozy 1 Bedroom Apartment,45,https://a0.muscache.com/im/pictures/012d4cca-4f45-451f-abba-44a77a4d07b8.jpg?im_w=720,Sandy Beaches
Nairobi,1,5.0,30,Paradise Africa,46,https://coralpi.com/wp-content/uploads/2019/07/Garden-City-3-Bed-Duplex-3-835x467.jpg.webp,City
Nairobi,4,5.0,10,Garnet Homes,47,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
Nairobi,0,2.0,25,Comfortable Home Stay - Nairobi,48,https://a0.muscache.com/im/pictures/3df7ba0a-d91f-4ab6-8cb4-4eab2cc579f1.jpg?im_w=720,City
Nairobi,3,2.0,12,Raven Cottage,49,https://a0.muscache.com/im/pictures/76d631a1-8129-42bd-ab6f-19a3fe236c8d.jpg?im_w=720,City
Nairobi,3,5.0,12,KIJANI SANCTUARY GLOBE TROTTERS!!!,50,https://a0.muscache.com/im/pictures/1c1a925b-f68d-4bac-b782-95ea91307b7b.jpg?im_w=720,City
Kilifi,6,3.0,35,Swahili beach room,51,https://stavica.com/wp-content/uploads/2019/05/ghh-1200x675.jpg,Sandy Beaches
Nairobi,3,3.0,40,"Charming Spac,Nice Estate Near City",52,https://a0.muscache.com/im/pictures/miso/Hosting-827836200973769125/original/732ff727-edb9-4a06-bb62-6d2390170d68.jpeg?im_w=720,City
